Fake_Id,Designation,Recruitment_Type,Account_code,Avg_In_Tim,Avg_Out_Tim,Avg_Office_hr,Avg_Bay_hr,Avg_Break_hr,Avg_Cafeteria,Avg_OOO_hr,Unbilled,Half_Day,Full_Day,Online_Checkin,Exemptions,Unallocated,avg_in_time_hr,avg_office_hours,avg_break_hours,avg_ooo_hours,total_leaves,unbilled_flag,unallocated_flag,bay_hours,cafeteria_hours,efficiency,break_utilization,punctuality,absenteeism_days,burnout_hours,Cluster,Behavior_Type,Name
0,AL,Campus-2020,Novartis,8:12:26,20:43:46,12:32:03,11:32:06,0:59:56,0:12:20,0:47:36,Billed,2,8,0,5,No,8.2,12.533333333333331,0.9833333333333332,0.7833333333333333,10,0,0,11.533333333333331,0.2,92.02127659574468,0.0784574468085106,0.8000000000000007,9,3.533333333333333,2,Erratic / At-Risk,Nicole Huynh
532,AL,Lateral,Skills Development,9:25:07,20:20:58,10:55:29,10:38:46,0:16:43,0:03:49,0:12:54,Unbilled,3,13,0,24,No,9.416666666666666,10.916666666666666,0.2666666666666666,0.2,16,1,0,10.633333333333333,0.05,97.40458015267176,0.0244274809160305,0.4166666666666661,14.5,1.916666666666666,2,Erratic / At-Risk,Michelle Gardner
12,TDS,Campus-2023,Walmart,12:48:56,0:11:03,11:21:49,10:30:50,0:50:59,0:09:34,0:41:25,Billed,1,5,1,21,No,12.8,11.35,0.8333333333333334,0.6833333333333333,6,0,0,10.5,0.15,92.51101321585904,0.0734214390602055,3.8000000000000007,5.5,2.35,2,Erratic / At-Risk,Kimberly Howard
76,TDS,Campus-2022,Skills Development,10:22:13,21:21:15,10:56:58,10:17:32,0:39:26,0:13:07,0:26:18,Billed,2,15,2,11,No,10.366666666666667,10.933333333333334,0.65,0.4333333333333333,17,0,0,10.283333333333331,0.2166666666666666,94.0548780487805,0.0594512195121951,1.3666666666666671,16,1.9333333333333336,2,Erratic / At-Risk,Amy Parsons
3,TDS,Campus 2024,Walmart,12:41:22,23:46:43,11:04:43,10:09:21,0:55:22,0:16:56,0:38:25,Billed,0,7,0,3,No,12.683333333333334,11.066666666666666,0.9166666666666666,0.6333333333333333,7,0,0,10.15,0.2666666666666666,91.71686746987952,0.0828313253012048,3.6833333333333336,7,2.0666666666666664,2,Erratic / At-Risk,Brenda Morales
6,TDS,Campus-2023,Walmart,13:04:00,0:18:24,11:13:40,10:07:18,1:06:22,0:36:49,0:29:33,Billed,0,4,0,13,No,13.066666666666666,11.216666666666669,1.1,0.4833333333333333,4,0,0,10.116666666666667,0.6,90.19316493313522,0.0980683506686478,4.066666666666666,4,2.216666666666667,2,Erratic / At-Risk,Kimberly Graham DVM
23,TDS,Campus-2023,NCLH,12:03:01,22:46:48,10:43:52,9:56:45,0:47:06,0:18:33,0:28:33,Billed,0,7,0,11,No,12.05,10.716666666666669,0.7833333333333333,0.4666666666666667,7,0,0,9.933333333333334,0.3,92.6905132192846,0.0730948678071539,3.0500000000000007,7,1.7166666666666668,2,Erratic / At-Risk,Darin Hill
57,TDS,Campus-2023,Walmart,12:11:37,22:38:40,10:27:27,9:52:15,0:35:11,0:10:46,0:24:24,Billed,2,11,0,7,No,12.183333333333334,10.45,0.5833333333333334,0.4,13,0,0,9.866666666666667,0.1666666666666666,94.41786283891548,0.0558213716108453,3.1833333333333336,12,1.4499999999999993,2,Erratic / At-Risk,Vanessa Serrano
7,AL,Campus-2019,Skills Development,10:39:42,21:43:14,11:03:22,9:50:42,1:12:40,0:02:07,1:10:33,Unbilled,0,5,3,3,No,10.65,11.05,1.2,1.1666666666666667,5,1,0,9.833333333333334,0.0333333333333333,88.9894419306184,0.1085972850678732,1.6500000000000004,5,2.0500000000000007,2,Erratic / At-Risk,Christopher Smith
2,TDS,Campus-2023,Skills Development,10:49:26,21:58:18,11:07:58,9:45:38,1:22:20,0:01:40,1:20:39,Billed,1,6,0,0,No,10.816666666666666,11.116666666666667,1.3666666666666667,1.3333333333333333,7,0,0,9.75,0.0166666666666666,87.70614692653673,0.1229385307346326,1.8166666666666664,6.5,2.116666666666667,2,Erratic / At-Risk,Bonnie Hunter
